Name of Establishment,Address
PYL PHARMACY,"RN Building, Rosario Street, Barangay 33, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
"WATSONS PERSONAL CARE STORES (PHILS) INC.,","SM Delgado cor. Valeria-Delgado Sts., Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
RHODZ PHARMACY,"PUROK MAGBINULIGAY, BARANGAY BATA, Bacolod City, Negros Occidental"
MERCURY DRUG,"Cor. McKinley, Dewey and Taft Sts., Brgy. III, Roxas, Capiz"
MERCURY DRUG,"Martelino Bldg., Roxas Ave., Brgy. Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
FARMACIA CARMELLI,"Quezon St., Poblacion, Pilar, Capiz, Western Visayas (Region VI), 5804, Pilar, Capiz"
ABBY PHARMACY,"Brgy. Poblacion Ilaya, Sara, Iloilo"
GRACE MED PHARMACY,"BRGY. POBLACION NORTE, Tobias Fornier, Antique"
JORIZZ PHARMACY,"Poblacion Norte, Tobias Fornier, Antique, Western Visayas (Region VI), 5716, Tobias Fornier, Antique"
FARMACIA FRANITA,"Roxas Street, Brgy. Pob 1, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
MERCURY DRUG,"Jose Alba Building, Mabini St., Barangay Poblacion, Kalibo, Aklan"
BENZ PHARMACY,"Door #1 ADR Building, Bonifacio Street, Brgy. Zone 6, Talisay, Negros Occidental, Negros Island Region, 6115, Talisay, Negros Occidental"
3J5N Pharmacy,"Pontevedra Public Market, Brgy. II (Pob.), Pontevedra, Negros Occidental, Negros Island Region, 6105, Pontevedra, Negros Occidental"
MERCURY DRUG,"Space No. 1054, 1055, 1057A &amp;1058A, First Floor, Ayala Malls Capitol Central, Gatuslao Street, Barangay 8, Bacolod, Negros Occidental"
Kliesen\'s Pharmacy,"Stall No. 1 Jaro Big Market, Brgy. Desamparados, Jaro, Iloilo City, Iloilo"
Farmacia Tesorero,"A.B. Legaspi St. Poblacion, Makato, Aklan"
SARAH NICHOLE PHARMACY,"Barangay Poblacion, Madalag, Aklan"
SMJ-S Drugmart,"Purok Acacia,, Brgy.  Zone II, Murcia, Murcia, Negros Occidental, Negros Island Region, 6129, Murcia, Negros Occidental"
BITS Medical Health Services,"Napoleon Gonzaga Road, Purok Sto. Tomas, Barangay 31, Bacolod City, Negros Occidental"
ILOILO GRACE PHARMACY,"Brgy. VIII, Roxas Ave., Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
GOLDCARE PHARMACY,"Brgy. Bagacay, San Dionisio, Iloilo"
THE GENERICS PHARMACY,"2014 Mabini St., Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
3M Pharmacy,"Stall #2, Building 1, Public Market, Buruanga, Aklan"
BOTICA TIANGHA,"San Miguel, Jordan, Guimaras, Western Visayas (Region VI), 5045, Jordan, Guimaras"
CHOFF PHARMACY,"Libo-on St., Brgy. Libo-on-Gargaritano-Gonzales, Guimbal, Iloilo"
PIERIL'S PHARMACY,"Roxas Avenue, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
ABAPO PHARMACY,"Barangay Funda-Dalipe, San Jose, Antique, Western Visayas (Region VI), 5700, San Jose, Antique"
Farmacia J.C Abella,"OS-ROX Avenue, Poblacion Batan, Batan, Aklan"
Botika Ilongga,"Quezon St., Brgy. Poblacion 1, Sagay City, Negros Occidental"
AZ\'s Pharmacy,"Lot 4 & 6 Block 16 Victorina Heights Subdivision, Barangay Mansilingan, Bacolod City, Negros Occidental"
RDP PHARMACY,"Rumbang, Pototan, Iloilo, Western Visayas (Region VI), 5008, Pototan, Iloilo"
MerryMart Consumer Corp.,"Burgos St., Barangay Inzo, Arnaldo Village, Roxas City, Capiz"
"MerryMart Grocery Centers, Inc.","Diversion Road, Barangay San Rafael, Mandurriao, Iloilo City, Iloilo"
"Iloilo Fertility and Reproductive Care Center, Inc.","3rd floor, Qualimed Hospital, Atria Park District, Brgy. San Rafael, Mandurriao, Iloilo City, Iloilo"
"MERLL VITRA DRUG, INC.","BLOCK 9 GROUND FLOOR. VCC, Victorias City, Negros Occidental"
BEC PHARMACY,"Block 10 Lot 9 San Dionisio Subdivision, Barangay. Granada, Bacolod City, Negros Occidental"
GEBIX PHARMA PRODUCTS MARKETING,"Brgy. Tabucan, Barotac Nuevo, Iloilo"
FARMACIA DE SALVACION,"Rizal, San Carlos, San Carlos, Negros Occidental"
CDCC PHARMACY,"Funda-Dalipe, San Jose, Antique, Western Visayas (Region VI), 5700, San Jose, Antique"
LA PHARMACERA DRUGSTORE,"Barangay Purok III, San Joaquin, Iloilo"
NAZ PHARMA,"Felix Gorriceta Jr. Avenue, Brgy. Aganan,, Pavia, Iloilo, Western Visayas (Region VI), 5001, Pavia, Iloilo"
BUD PHARMACY,"Purok Malipayon, Brgy. Guinhalaran, Silay City, Negros Occidental"
TRIO-MED PHARMACY,"Cattlea Street, Purok Mabinuligon, Brgy. Mansilingan, Bacolod City, Negros Occidental"
KA-AYONG LAWAS PHARMACY,"BANDUNG VILLAGE BRGY 7, Victorias City, Negros Occidental"
GBX PHARMACY CORPORATION,"Binalbagan Public Market, Don Pedro Yulo St., Brgy. San Pedro, Binalbagan, Negros Occidental, Negros Island Region, 6107, Binalbagan, Negros Occidental"
GBX Pharmacy Corporation,"Brgy. Aguisan, Himamaylan, Negros Occidental, Negros Island Region, 6108, Himamaylan, Negros Occidental"
FARMACIA STA. ELENA,"Teresa Magbanua  St., Pototan, Pototan, Iloilo, Western Visayas (Region VI), 5008, Pototan, Iloilo"
MAYA'S PHARMACY,"Mojon St.,  Barangay 1, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
MK Coastal Pharmacy Co.,"Barangay Poblacion, Leganes, Iloilo"
SOUTH STAR DRUG,"Barangay Atabay, San Jose de Buenavista, Antique"
FARMACIA STA. ELENA,"Brgy. Rumbang, Pototan, Iloilo"
GILLET PHARMACY,"Brgy. Buray, Oton, Iloilo"
The Generics Pharmacy,"D.V SALCEDO ST., POB. ILAWOD, Sara, Iloilo"
Medical Plaza Pharmacy,"Poblacion New Washington Aklan, New Washington, Aklan"
MERCURY DRUG,"Door 2 Sia-Chan Lek Bldg., National Road, cor. Dalisay St., Barangay Poblacion, Ibajay, Aklan, Western Visayas (Region VI), 5613, Ibajay, Aklan"
Bartolome Pharmacy,"Del Rosario St., Poblacion, Balasan, Iloilo"
PLANET HEALTH PHARMACY,"Prk. Totong 1, Barangay Felisa, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
2J\'s Pharmacy,"National Rd., Brgy. Ubos (Pob.),, Valderrama, Antique"
Medphar Drugstore,"Benes Bldg., 130-A Zone 1, Compania St., Brgy. Compania Central, Molo, Iloilo City, Iloilo"
FARMACIA BENJAMIN II,"C-1 TEODORO ARCENAS TRADE CENTER, Roxas, Capiz"
"CMS PHARMACY &amp; MEDICAL SUPPLIES, INC.","Elemar Business Center, San Roque Ext., Roxas, Capiz"
Farmacia Renia,"Brgy. Aganan, Pavia, Brgy. Aganan, Pavia, Iloilo"
Botica Negrense,"Cor. Azucena-Arceo drive, Purok Mabinuligon, Barangay Mansilingan, Bacolod City, Negros Occidental"
CYRES PHARMACY,"Tigbauan Public Market, Brgy. Poblacion 9, Tigbauan, Iloilo"
CAMILLUS PHARMACY,"C-25, TEODORO ARCENAS TRADE CENTER, Roxas City, Capiz"
Josmef Pharma Inc.,"GT Town Center, Brgy. Ungka II, Pavia, Iloilo"
JCS Pharmacy,"Pastrana St., Poblacion, Kalibo, Aklan"
SAN VICENTE PHARMACY,"Poblacion, Anini-Y, Antique"
Red J Pharmacy,"District III (Pob.), Sibalom, Antique"
RNM PHARMACY,"RAFAEL SALAS DRIVE, BALINGASAG, Bago, Negros Occidental"
"VAXIMAX MARKETING VENTURES, INC.","#14 Jereos St., Brgy. Gustilo, Lapaz, Iloilo City, Iloilo"
RJ PHARMACY,"BRGY. CAPT. A. TIRADOR (POB.), Janiuay, Iloilo"
MERCURY DRUG,"17 Ascalon St., Brgy. 2, Victorias, Negros Occidental, Negros Island Region, 6119, Victorias, Negros Occidental"
JEMP PHARMACY,"189 Corner Luna-Hechanova Sts., Brgy. Luna, La Paz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
A.C.E GALEN PHARMACY,"Paradero Proper,Brgy. Prosperidad, San Carlos City, Negros Occidental"
JPC Pharmacy,"Barangay Talacu-an, Leon, Iloilo"
JSO DRUGMART,"Mc Arthur Highway, Brgy. Buntatala, Jaro, Iloilo City, Iloilo"
MERCURY DRUG,"AANDA Bldg., Araneta St., Brgy. Poblacion, Bago, Negros Occidental, Negros Island Region, 6101, Bago, Negros Occidental"
MERCURY DRUG,"Gustilo St., San Carlos, Negros Occidental, Negros Island Region, 6127, San Carlos, Negros Occidental"
Glory Pharmacy,"Baranggay 01- Roxas Street, San Miguel, Iloilo"
DEZ Pharmacy,"Guzman St., Brgy., Guzman-Jesena, Mandurriao, Iloilo City, Iloilo"
SINCERE DRUG STORE,"Libertad St., Barangay 40, Bacolod, Negros Occidental"
SAVE ON QUALITY GENERICS PHARMACY,"Mt. Carmel Arcade, Valeria St., Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
ALONSAGAY PHARMACY,"National Road, Poblacion, Sebaste, Antique, Western Visayas (Region VI), 5709, Sebaste, Antique"
RGB Pharmacy,"Barangay East, Candoni, Negros Occidental"
EALA PHARMACY,"Esquilla St., Brgy. 5, Igbaras, Iloilo"
FOURMULA 1 + BOTIKA NG BAYAN (F1+BNB),"Cabano, San Lorenzo, Guimaras"
VBR Pharmacy,"Simon Ledesma St. Jaro, Iloilo City, Iloilo"
RIGHT AID PHARMACY,"JM Basa St., Barangay Basa-Mabini-Bonifacio, Dumangas, Iloilo, Western Visayas (Region VI), 5006, Dumangas, Iloilo"
RIGHT AID PHARMACY,"Barangay Jalaud Norte, Zarraga, Iloilo"
GLEAMS PHARMACY,"Barangay 3, Isabela, Negros Occidental, Negros Island Region, 6128, Isabela, Negros Occidental"
VLV Pharmacy and Medical Supplies,"Lopez Jaena Street, Barangay 4, Hinigaran, Negros Occidental, Negros Island Region, 6106, Hinigaran, Negros Occidental"
ROXAS CITY HEALTH OFFICE PHARMACY,"Brgy. Inzo Arnaldo Village, Cadimahan, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
ESSENTIALCARE PHARMACY,"ABANILLA STREET, BRGY. JALANDONI ESTATE LAPUZ, Iloilo City, Iloilo"
DOMINICS PHARMACY,"M. CHAVEZ, San Lorenzo, Guimaras, Western Visayas (Region VI), 5047, San Lorenzo, Guimaras"
ROSEJIM\'S PHARMACY,"Brgy. West, Candoni, Negros Occidental"
APPLE\'S PHARMACY,"Santa Cruz Bldg., Guanzon Street, Brgy. 3, Kabankalan City, Negros Occidental"
CEV'S BOTIKA,"Zarraga Public Market Stall 7C, Jalandoni Street, Zarraga, Iloilo, Western Visayas (Region VI), 5004, Zarraga, Iloilo"
ILOILO GRACE PHARMACY,"C &amp; J Building, Jalandoni  Extension, Bolilao, Mandurriao, Iloilo City, Iloilo"
ILOILO GRACE PHARMACY,"G/L Gaisano City Mall, Lapaz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
WVCS PHARMACY,"Leganes Public Market, Leganes, Iloilo, Western Visayas (Region VI), 5003, Leganes, Iloilo"
SDP DRUGSTORE,"Hard Bldg., Merlo Street, Brgy. Zone II, Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
TALVES DRUGSTORE,"Carlos Magalona Street Brgy 1 Poblacion, Enrique B. Magalona, Negros Occidental"
MEDS4LESS PHARMA INC,"Room 106 VLI Medical Plaza, Bacolod, Negros Occidental"
MEDI SHOPPE PHARMACY CO.,"4th St., Lawaan Subd., Brgy. Balantang, Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
BARBAZA DRUGSTORE,"National Road, Barbaza, Antique"
ST. JEROME DRUGSTORE,"San Geronimo St., Poblacion, Tapaz, Capiz"
THE GENERICS PHARMACY,"Del Rosario St., Balasan, Iloilo, Western Visayas (Region VI), 5018, Balasan, Iloilo"
UMALI DRUGSTORE II,"New Poblacion, Buenavista, Guimaras, Western Visayas (Region VI), 5044, Buenavista, Guimaras"
MEDCHEST MEDICAL SUPPLIES TRADING,"Perimeter Blk. #42, Nichols Aguilar Mall, Brgy. Poblacion I, Sagay City, Negros Occidental"
Farmacia de ToboseÃ±os,"Blk-A of Wils Supermart Purok Sampaguita, Brgy. Poblacion, Toboso, Negros Occidental"
SURESCA PHARMACY,"Zone 3, Barangay Ungka, Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Lifemed Pharmacy,"Brgy cabalabaguan, Mina, Iloilo"
MANGKAS PHARMA AND MEDICAL SUPPLIES TRADING,"BLOCK 3, SARAVIA COMMERCIAL BUILDING, CARLOS MAGALONA ST., BRGY. POBACION 1, Enrique B. Magalona, Negros Occidental"
WATSONS YOUR PERSONAL STORE,"G/F Savemore Market Fortune Town Bacolod, Sofia Gonzaga St.,  Brgy. Estefania, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
GGM PHARMACY,"Barangay Robles, La Castellana, Negros Occidental"
MEDIHEALTH PHARMACY,"Cudilla St., Brgy. Pob. Zone II, Estancia, Iloilo"
Benjo\'s Pharmacy,"Public Market, Barangay Robles, La Castellana, Negros Occidental"
NEGROS GRACE PHARMACY,"Northpoint Bldg., B.S. Aquino Drive, Bacolod, Negros Occidental"
BOTICA CARMEN,"Tupas St., Brgy. 5 (Poblacion),, Tigbauan, Iloilo, Western Visayas (Region VI), 5021, Tigbauan, Iloilo"
JACOB'S PHARMACY,"Unit 9, Santa Clara Arcade Brgy. Zone 3, Murcia, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"GF City Mall Kabankalan, Barangay Talubangi, , Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"Ground Floor City Mall Victorias, Osmena Ave. , Victorias, Negros Occidental, Negros Island Region, 6119, Victorias, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"Supermarket Area Savemore Market San Carlos, Locsin St., Brgy. IV, San Carlos, Negros Occidental, Negros Island Region, 6127, San Carlos, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"GF Savemore Talisay, Mabini St., Zone 12, Paseo Mabini, Talisay, Negros Occidental, Negros Island Region, 6115, Talisay, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"LGF SM Hypermarket Cadiz, Abelarde St, Cadiz, Negros Occidental, Negros Island Region, 6121, Cadiz, Negros Occidental"
RAIN PHARMACY,"TATC Brgy. VIII, Roxas City, Capiz"
PLMSC PHARMACY INCORPORATED,"PLMSC Building, Dela Rama St., Zamora-Melliza, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
RG\'S PHARMACY,"Shop #2 Selasor Bldg., Barangay Cabanbanan, Oton, Iloilo"
NATURES WELL PHARMACY,"PUER SANCTUS MANVILLE ROYALE SUBD BRGY TANGUB, Bacolod City, Negros Occidental"
MVT PHARMACY,"Gomez St., Barangay 2 Poblacion, Moises Padilla, Negros Occidental"
Rose Pharmacy,"Salmo Building, Brgy. 1, Pob. Roxas St., San Miguel, Iloilo"
Sirius. Drugstore,"Brgy. Palanguia, Pototan, Iloilo"
DX Pharmacy,"Garcia Bldg, Archbishop Reyes St. Poblacion, Kalibo, Aklan"
AVISHA PHARMACY,"Amar Bldg., Presbitero St., Valladolid Public Market, Brgy. Poblacion, Valladolid, Negros Occidental, Negros Island Region, 6103, Valladolid, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"Zone I – GF City Mall, Din-Iwid, Brgy. Balabag, Boracay Island, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan"
"WATSONS PERSONAL CARE STORES (PHILS) INC.,","G/F SM City Iloilo, Benigno S. Aquino Avenue,, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Araneta St., Brgy. Poblacion, Bago, Negros Occidental, Negros Island Region, 6101, Bago, Negros Occidental"
CCRJ PHARMACY,"Zone VI, Brgy. Buntatala, Jaro, Iloilo City, Iloilo"
MERCURY DRUG,"G/F G005-06 GT Town Center, VP Fernando Lopez Avenue, Brgy. Ungka II, Pavia, Iloilo, Western Visayas (Region VI), 5001, Pavia, Iloilo"
GEMELYNN'S PHARMACY,"YUNQUE STREET, BRGY. II POBLACION, LA CARLOTA CITY, NEGROS OCCIDENTAL 6130, La Carlota City, Negros Occidental"
J&amp;R PHARMA AND MEDICAL SUPPLIES TRADING,"Burgos Ilawod, Brgy. V, Roxas City, Capiz"
KD DRUGSTORE,"BARANGAY SUBA, Calatrava, Negros Occidental"
Zarcy Drugstore,"Brgy. San Jose, San Miguel Iloilo, Corner Oton-Sta. Barbara Road, San Miguel, Iloilo"
MEDS4LESS PHARMA INC.,"Villena St., Zone 2, Cadiz City, Negros Occidental"
TMTRUIZ CORPORATION,"Rizal Street, Brgy. 2, Himamaylan, Negros Occidental"
M.C TRINIDAD BLESSED PHARMACY,"Cor. Rizal Burgos St., Brgy. 1,, Silay, Negros Occidental"
GENERIKA DRUGSTORE,"Don Pedro R. Yulo St., Barangay Sto. Rosario, Binalbagan, Negros Occidental, Negros Island Region, 6107, Binalbagan, Negros Occidental"
Mercury Drug,"Rizal Street, Barangay 1, Silay City, Negros Occidental"
GENERIKA DRUGSTORE,"Unit 1, Dumalag Road, Poblacion Tabuc, Mambusao, Capiz, Western Visayas (Region VI), 5807, Mambusao, Capiz"
MANDARIO PHARMACY,"Cabatuan Public Market, Cabatuan, Iloilo"
TRI DRAG PHARMACY,"A.B. PARREÃ‘O, GALO-BBB STREET, BARANGAY 20, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
Vivalife Pharmacy,"Tordesillas St., District III, Sibalom, Antique"
MERCURY DRUG,"Unit A-24, G/F, Festive Walk Mall, Barangay Q. Abeto-Mirasol, Mandurriao, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
NANAY'S PHARMACY,"Bldg. J Stall#3 Lapaz Public Market , Lapaz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Botika Villaruel,"Real Street, Bularan, Banate, Iloilo, Western Visayas (Region VI), 5010, Banate, Iloilo"
DR. PEDRO A. HINOLAN JR. PHARMACY,"Escalante City, Escalante, Negros Occidental, Negros Island Region, 6124, Escalante, Negros Occidental"
TCF PHARMACY,"Block 37 Lot C, Brgy. Bolilao, Mandurriao, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Golden Heritage Bldg., #1 San Juan-Luzuriaga Sts.,, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
FARMACIA NI DOK,"Barangay Balabag, Boracay Island, Malay, Aklan"
Pit Drugmart,"Davis Bldg., Central View, San Miguel, Jordan, Guimaras, Western Visayas (Region VI), 5045, Jordan, Guimaras"
Spirit's Drugstore,"2floor Poblacion Public market,Calagitan San Remegio Antique, San Remigio, Antique"
Grace Pharmacy,"MSL Building, Araneta St. Pre Villa Lourdes, Brgy. Pahanocoy, Bacolod City, Negros Occidental"
Pharmabess Drugmart,"Sebario, San Lorenzo, Guimaras"
TRI DRAG PHARMACY,"A.B. PARREÑO, GALO-BBB STREET, BARANGAY 20, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
UNIGOLD PHARMACY,"Mohon, Binicuil, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
ATHENA DRUGSTORE,"Sitio Poblacion, Brgy. Cabano,, San Lorenzo, Guimaras, Western Visayas (Region VI), 5047, San Lorenzo, Guimaras"
ONEBELLSHIRE CORPORATION,"Unit 228-229 2nd Floor Del Rio 2 Bldg., BS Aquino Drive, Brgy. 5 Bacolod City, Neg.Occ., Bacolod City, Negros Occidental"
ROSE PHARMACY,"100 Commission Civil St., Brgy. Benedicto, Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
SOUTH STAR DRUG,"Robinson's Supermarket Bacolod, Lacson St., Brgy. Mandalagan, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
Gaps. Pharmacy,"Tabucan, Barotac Nuevo, Iloilo"
KEN DANIEL PHARMACY,"Barangay 1, Poblacion, Sipalay, Negros Occidental, Negros Island Region, 6113, Sipalay, Negros Occidental"
GENERIKA DRUGSTORE,"Brgy. Zone III ,Villena St., Cadiz, Negros Occidental, Negros Island Region, 6121, Cadiz, Negros Occidental"
Grace Pharmacy,"KJ FAIRMART S. CARMONA ST. BRGY III, San Carlos City, Negros Occidental"
PILMED PHARMACY,"New Poblacion, Buenavista, Guimaras"
EDEN PHARMACY,"Blk. 109 Central Market, Gonzaga St., Bacolod, Bacolod, Negros Occidental"
WATSONS YOUR PERSONAL DRUGSTORE,"Supermarket Area SM City Bacolod, Reclamation Area, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
G AND Z PHARMA,"BARANGAY LAWA-AN, Roxas City, Capiz"
Care First Pharmacy Co.,"Rizal Street, Barangay Caradio-an, Himamaylan City, Negros Occidental"
M2 Pharmacy,"Poblacion II, Hamtic, Antique"
Emmanuel Drugmart,"Goding Ramos Street., Poblacion, Kalibo, Aklan"
JMP DRUGSTORE,"Ambulong, Brgy. Manocmanoc, Boracay Island, Malay, Aklan"
"METRO RETAIL STORES GROUP, INC.","Ground Floor, Ayala Malls, Capitol Central, Gatuslao Street, Barangay 8, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
KATHYRYN PHARMACY,"Zone 3 Central Tubao, Valladolid, Negros Occidental"
KATHYRYN PHARMACY,"Zone 3 Central Tubao, Valladolid, Negros Occidental, Negros Island Region, 6103, Valladolid, Negros Occidental"
REMYDICINE CORNER PHARMACY,"Brgy. Jibolo, Janiuay, Iloilo"
THE GENERICS PHARMACY,"Kiosk D-20 Triangle,  Island Plaza Mall Shopping Center,, B. S. Aquino Drive, Brgy. Villamonte, , Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
FARMACIA NI DOK,"Rizal St., Poblacion, New Washington, Aklan, Western Visayas (Region VI), 5610, New Washington, Aklan"
PANACEA PHARMACY,"Cor. La Paz- Ogatiz Sts., Brgy. III Poblacion, La Carlota, Negros Occidental, Negros Island Region, 6130, La Carlota, Negros Occidental"
SOUTH STAR DRUG,"Barangay Zone III, Cadiz, Negros Occidental, Negros Island Region, 6121, Cadiz, Negros Occidental"
THE GENERICS PHARMACY,"Lot 9 Block 136 Highway to Mabinay, Kabankalan, Negros Occidental"
LGE PHARMACY,"GANE Building Purok Maghili-ugyon,Brgy Mansilingan, Bacolod City, Negros Occidental"
GLEAMS PHARMACY,"Public Market, Brgy. II, Pontevedra, Negros Occidental, Negros Island Region, 6105, Pontevedra, Negros Occidental"
JDN PHARMACY,"Plaza Burgos, Burgos St., Brgy. 9, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
ZYKES PHARMACEUTICAL PRODUCTS DISTRIBUTION,"Rizal St., Brgy. 1-Pob., Hinigaran, Negros Occidental"
SOUTH HEALTH MEDICS PHARMA,"South Health Bldg.,Tan Lorenzo St., Brgy. 3, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
MEDICAL MISSION GROUP HOSPITALS AND HEALTH SERVICES COOPERATIVE OF AKLAN PHARMACY,"San Lorenzo Drive, Toting Reyes, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
RNJ PHARMACY,"NEW KABANKALAN CITY PUBLIC MARKET, BRGY. 1, Kabankalan City, Negros Occidental"
M &amp; E LORIEGA PHARMACY,"Brgy. Atabay,, San Jose, Antique"
Del Royo Life Aid Pharmacy,"Barangay Mali-ao, Pavia, Iloilo"
MADALAG TEACHERS' MULTI-PURPOSE COOPERATIVE,"Nabor St., Poblacion, Madalag, Aklan, Western Visayas (Region VI), 5603, Madalag, Aklan"
GRANNY L PHARMACY,"TANGALAN PUBLIC MARKET, STALL#33, BRGY. POBLACION, Tangalan, Aklan"
L&amp;Z Pharmacy,"Door 3, SMCC Building, East Homes 4 Entrance, Handumanan Access Road, Mansilingan, Bacolod City, Negros Occidental"
MERCURY DRUG,"Immaculate Heart of Mary Avenue, Pueblo De Panay, Brgy. Lawa-an, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
DINZY PHARMACY,"ZONE 2, BRGY. POBLACION, Nueva Valencia, Guimaras"
MERCURY DRUG,"Dream 21 Bldg., 21st St., B. S. Aquino Drive, Brgy. 5, , Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
Medfirst Drugstore,"Block 1 Lot 1 Buri Road, Mission Viejo Homes, Barangay Mandalagan, Bacolod City, Negros Occidental"
Mercury Drug,"Sofia Gonzaga St., Fortune Towne A Subd., Barangay Estefania, Bacolod City, Negros Occidental"
Guelos Pharmacy,"Roxas St., Brgy. 1, San Miguel, Iloilo"
AJK PHARMACY,"Balucuan,, Dao, Capiz, Western Visayas (Region VI), 5810, Dao, Capiz"
GAMOT PUBLIKO YOUR GENERIC DRUGSTORE,"Ground Floor Policarpio Bldg Arch. Reyes cor Goding Ramo St. Brgy. Poblacion, Kalibo, Aklan"
GUINTIVANO DRUGSTORE,"Leganes Public Market, Leganes, Iloilo, Western Visayas (Region VI), 5003, Leganes, Iloilo"
